"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 26 15:32:25 UTC 2023","Mon Jun 26 15:32:25 UTC 2023","453","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Mon Jun 26 15:49:34 UTC 2023","Mon Jun 26 15:49:37 UTC 2023","2993","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Mon Jun 26 15:25:16 UTC 2023","Mon Jun 26 15:25:36 UTC 2023","19581","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Mon Jun 26 15:49:38 UTC 2023","Mon Jun 26 15:49:57 UTC 2023","19350","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Mon Jun 26 15:33:09 UTC 2023","Mon Jun 26 15:33:10 UTC 2023","1163","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Mon Jun 26 15:21:47 UTC 2023","Mon Jun 26 15:22:09 UTC 2023","21552","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Jun 26 15:41:16 UTC 2023","Mon Jun 26 15:41:21 UTC 2023","4357","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Mon Jun 26 15:37:18 UTC 2023","Mon Jun 26 15:37:21 UTC 2023","3220","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Mon Jun 26 15:47:17 UTC 2023","Mon Jun 26 15:47:18 UTC 2023","1187","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Mon Jun 26 15:40:09 UTC 2023","Mon Jun 26 15:40:44 UTC 2023","34923","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Mon Jun 26 15:39:48 UTC 2023","Mon Jun 26 15:41:07 UTC 2023","78540","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Mon Jun 26 15:23:49 UTC 2023","Mon Jun 26 15:23:49 UTC 2023","754","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Jun 26 15:25:26 UTC 2023","Mon Jun 26 15:25:33 UTC 2023","7176","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Mon Jun 26 15:37:54 UTC 2023","Mon Jun 26 15:37:57 UTC 2023","2598","","6. Company Account","","","","6. Review Review Page",""
"passed","Mon Jun 26 15:41:14 UTC 2023","Mon Jun 26 15:41:16 UTC 2023","2581","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"skipped","Mon Jun 26 15:52:47 UTC 2023","Mon Jun 26 15:52:47 UTC 2023","1","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"skipped","Mon Jun 26 15:52:47 UTC 2023","Mon Jun 26 15:52:47 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Mon Jun 26 15:21:46 UTC 2023","Mon Jun 26 15:22:07 UTC 2023","20556","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Mon Jun 26 15:39:43 UTC 2023","Mon Jun 26 15:39:48 UTC 2023","5402","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Mon Jun 26 15:26:15 UTC 2023","Mon Jun 26 15:26:17 UTC 2023","2119","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Mon Jun 26 15:43:35 UTC 2023","Mon Jun 26 15:44:26 UTC 2023","51696","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Mon Jun 26 15:23:45 UTC 2023","Mon Jun 26 15:23:49 UTC 2023","3984","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Mon Jun 26 15:33:06 UTC 2023","Mon Jun 26 15:33:09 UTC 2023","2092","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Jun 26 15:28:43 UTC 2023","Mon Jun 26 15:29:03 UTC 2023","19888","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Mon Jun 26 15:22:01 UTC 2023","Mon Jun 26 15:22:32 UTC 2023","31020","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Mon Jun 26 15:26:18 UTC 2023","Mon Jun 26 15:26:29 UTC 2023","11202","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Mon Jun 26 15:40:50 UTC 2023","Mon Jun 26 15:40:51 UTC 2023","876","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Jun 26 15:22:20 UTC 2023","Mon Jun 26 15:22:22 UTC 2023","2801","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Jun 26 15:29:46 UTC 2023","Mon Jun 26 15:30:09 UTC 2023","23102","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Jun 26 15:32:22 UTC 2023","Mon Jun 26 15:32:25 UTC 2023","2814","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Mon Jun 26 15:22:40 UTC 2023","Mon Jun 26 15:23:01 UTC 2023","20928","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Mon Jun 26 15:37:06 UTC 2023","Mon Jun 26 15:37:41 UTC 2023","35204","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Jun 26 15:36:56 UTC 2023","Mon Jun 26 15:37:29 UTC 2023","33115","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Jun 26 15:38:12 UTC 2023","Mon Jun 26 15:38:13 UTC 2023","450","","6. Company Account","","","","9. Review Final Review",""
"passed","Mon Jun 26 15:50:16 UTC 2023","Mon Jun 26 15:50:28 UTC 2023","12107","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Mon Jun 26 15:29:12 UTC 2023","Mon Jun 26 15:29:28 UTC 2023","16728","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Mon Jun 26 15:42:25 UTC 2023","Mon Jun 26 15:42:40 UTC 2023","14681","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Mon Jun 26 15:22:46 UTC 2023","Mon Jun 26 15:22:51 UTC 2023","5691","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Mon Jun 26 15:42:36 UTC 2023","Mon Jun 26 15:42:39 UTC 2023","3422","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Mon Jun 26 15:46:58 UTC 2023","Mon Jun 26 15:47:04 UTC 2023","5522","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Mon Jun 26 15:22:22 UTC 2023","Mon Jun 26 15:22:24 UTC 2023","2356","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Mon Jun 26 15:29:58 UTC 2023","Mon Jun 26 15:30:03 UTC 2023","5189","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Mon Jun 26 15:32:51 UTC 2023","Mon Jun 26 15:33:06 UTC 2023","15223","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"skipped","Mon Jun 26 15:21:35 UTC 2023","Mon Jun 26 15:21:35 UTC 2023","6","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Mon Jun 26 15:29:04 UTC 2023","Mon Jun 26 15:33:26 UTC 2023","261832","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Mon Jun 26 15:32:37 UTC 2023","Mon Jun 26 15:32:38 UTC 2023","890","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Mon Jun 26 15:31:44 UTC 2023","Mon Jun 26 15:31:50 UTC 2023","5928","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Mon Jun 26 15:38:08 UTC 2023","Mon Jun 26 15:38:12 UTC 2023","3989","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"skipped","Mon Jun 26 15:52:47 UTC 2023","Mon Jun 26 15:52:47 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Mon Jun 26 15:36:39 UTC 2023","Mon Jun 26 15:36:51 UTC 2023","11828","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Mon Jun 26 15:36:17 UTC 2023","Mon Jun 26 15:36:39 UTC 2023","22416","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Jun 26 15:30:35 UTC 2023","Mon Jun 26 15:30:40 UTC 2023","4167","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Mon Jun 26 15:37:29 UTC 2023","Mon Jun 26 15:37:40 UTC 2023","10603","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Mon Jun 26 15:37:21 UTC 2023","Mon Jun 26 15:37:33 UTC 2023","12172","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Mon Jun 26 15:21:28 UTC 2023","Mon Jun 26 15:21:31 UTC 2023","3093","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Mon Jun 26 15:21:35 UTC 2023","Mon Jun 26 15:21:39 UTC 2023","3608","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Mon Jun 26 15:29:00 UTC 2023","Mon Jun 26 15:29:32 UTC 2023","31284","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Jun 26 15:29:03 UTC 2023","Mon Jun 26 15:29:11 UTC 2023","8600","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Mon Jun 26 15:32:00 UTC 2023","Mon Jun 26 15:32:01 UTC 2023","1217","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Mon Jun 26 15:29:12 UTC 2023","Mon Jun 26 15:29:12 UTC 2023","30","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Mon Jun 26 15:41:04 UTC 2023","Mon Jun 26 15:41:13 UTC 2023","9972","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Mon Jun 26 15:22:22 UTC 2023","Mon Jun 26 15:22:46 UTC 2023","23215","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Mon Jun 26 15:25:07 UTC 2023","Mon Jun 26 15:25:26 UTC 2023","18535","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Mon Jun 26 15:47:07 UTC 2023","Mon Jun 26 15:47:09 UTC 2023","1739","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Mon Jun 26 15:21:42 UTC 2023","Mon Jun 26 15:21:46 UTC 2023","4457","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Mon Jun 26 15:49:37 UTC 2023","Mon Jun 26 15:49:38 UTC 2023","322","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Mon Jun 26 15:22:07 UTC 2023","Mon Jun 26 15:22:22 UTC 2023","14621","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Mon Jun 26 15:32:45 UTC 2023","Mon Jun 26 15:33:19 UTC 2023","34617","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Mon Jun 26 15:28:47 UTC 2023","Mon Jun 26 15:29:04 UTC 2023","17303","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Mon Jun 26 15:26:30 UTC 2023","Mon Jun 26 15:26:30 UTC 2023","669","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
